MBP,SBP,DBP,HR
63,94,51,90
63,94,50,90
63,93,50,89
62,93,50,89
62,93,50,89
62,93,50,88
62,93,50,89
62,93,50,90
63,93,50,90
63,94,50,91
64,95,51,90
64,95,51,88
64,96,51,87
64,96,51,88
64,96,51,87
64,96,51,86
64,96,51,89
64,96,51,89
63,95,50,88
63,95,50,88
63,96,50,87
63,96,50,85
63,95,50,85
63,95,50,85
63,95,50,84
63,95,50,85
63,96,50,85
63,96,50,85
64,96,51,87
64,96,51,86
64,97,51,86
65,97,51,86
65,98,51,85
65,98,51,81
65,98,51,81
65,98,51,81
64,98,51,82
64,98,51,84
64,98,51,91
64,98,51,90
64,97,51,91
65,99,52,94
66,99,53,91
66,100,53,84
66,100,52,77
66,100,52,78
66,100,52,83
66,100,52,82
65,100,52,80
65,100,52,80
65,100,52,81
65,100,52,81
65,99,52,83
65,99,52,83
65,98,52,80
65,98,52,80
65,98,52,81
65,98,52,82
65,98,52,83
65,97,52,84
65,97,52,83
65,97,52,82
65,97,52,84
65,97,52,84
65,96,52,82
65,96,52,82
65,96,52,82
65,96,52,81
65,96,52,81
65,96,52,83
65,95,52,83
65,95,52,82
65,95,53,77
64,95,52,73
63,94,51,72
63,94,51,80
63,94,51,82
64,95,51,83
64,96,52,87
65,96,52,87
66,98,53,86
66,99,53,84
66,100,54,82
67,100,54,82
67,100,54,81
66,100,54,80
66,100,54,80
66,99,54,80
66,99,54,81
66,99,54,82
66,99,54,81
65,98,54,80
65,98,53,80
65,97,53,80
64,97,53,81
64,96,53,84
64,96,53,84
64,95,53,84
64,95,52,82
64,95,52,82
64,95,53,86
64,95,53,87
64,95,52,86
64,95,53,86
65,95,53,85
65,96,53,84
65,96,53,84
65,96,53,86
65,97,53,88
65,97,53,84
65,98,53,80
65,98,53,81
65,98,53,84
65,98,53,85
65,98,53,83
65,98,53,84
66,99,53,88
66,99,53,88
66,100,54,86
67,100,54,86
67,101,55,85
67,101,55,85
68,102,55,84
68,102,55,84
68,102,55,85
68,102,55,87
68,102,56,89
68,102,56,88
68,102,56,86
68,102,56,85
68,103,56,84
68,103,56,82
68,103,56,82
68,102,56,83
67,101,55,81
65,100,54,81
63,97,51,83
62,96,49,87
60,94,48,91
59,93,47,91
59,94,46,90
60,94,47,91
59,94,47,90
59,94,47,92
59,94,47,91
59,94,47,85
59,93,47,83
59,93,47,82
58,93,47,80
58,93,46,79
58,92,46,81
58,92,46,83
58,92,46,83
58,91,46,82
58,91,46,83
58,91,47,83
58,91,46,81
58,91,46,81
59,91,47,81
59,92,47,80
59,92,47,79
59,92,47,79
59,92,47,76
59,92,47,73
59,92,46,72
60,92,47,80
61,92,48,93
61,93,49,94
63,95,51,90
64,96,51,86
64,97,51,81
65,98,52,77
65,98,52,77
64,98,52,77
64,97,51,76
64,97,51,77
63,97,51,78
63,96,51,81
63,96,51,79
63,96,51,79
63,95,50,77
63,95,50,79
63,95,51,84
63,95,51,87
64,95,51,92
64,96,51,94
65,96,53,94
66,97,53,93
66,98,54,88
66,98,54,87
66,98,53,83
65,97,53,85
65,96,52,86
64,97,52,77
62,96,49,68
61,96,49,64
60,95,48,67
59,95,47,66
59,95,47,64
58,95,46,63
58,94,45,62
57,94,45,62
57,93,44,62
56,93,44,62
56,93,44,63
57,93,44,63
57,93,44,63
57,93,45,64
58,94,45,65
58,94,46,65
59,95,46,65
60,96,47,65
60,96,48,66
61,97,48,66
61,97,48,66
62,98,49,66
62,98,49,66
62,99,49,66
63,99,50,67
63,99,50,68
64,100,50,69
64,101,51,69
65,101,51,69
65,101,52,69
65,101,52,69
65,102,52,69
65,102,52,69
65,102,52,68
66,102,52,69
66,102,53,69
66,102,53,69
66,102,53,70
66,102,53,71
66,102,53,71
66,102,53,71
66,102,53,71
66,102,53,73
66,102,53,75
67,102,54,76
68,103,54,76
68,104,55,74
68,104,55,73
68,104,55,71
68,104,55,71
68,104,55,74
68,104,55,77
68,103,55,79
69,104,55,79
69,104,56,78
69,104,56,77
69,103,56,80
69,102,57,89
70,103,57,93
71,104,58,90
71,104,58,88
71,104,58,89
71,104,58,86
71,103,58,85
70,102,57,84
69,100,57,93
69,100,57,95
68,100,56,94
68,99,56,90
67,98,55,87
67,98,55,88
66,97,54,88
66,96,54,85
65,95,53,84
65,95,53,85
65,95,53,86
65,94,53,82
64,93,53,83
64,93,52,84
64,92,52,82
63,92,51,79
63,91,51,80
63,91,51,82
62,91,50,82
62,90,50,80
62,90,50,81
62,90,50,82
61,90,50,81
61,89,49,80
61,88,49,83
61,88,49,82
61,89,49,81
60,88,48,78
60,87,48,80
59,87,48,81
59,87,47,80
59,86,47,79
58,85,47,82
58,85,47,82
58,86,47,81
58,85,46,77
58,85,46,79
58,85,46,82
58,85,46,81
57,85,46,79
57,84,45,81
57,84,45,82
57,84,45,81
56,83,45,77
56,83,44,78
56,83,44,81
56,83,44,82
56,83,44,81
56,83,44,82
56,83,44,82
57,83,44,83
57,84,45,82
